Status,EMR Name,Serial Number,Machine Product,Machine Model,Account: Account Name,Sub Call Type,PMAct Type,Subjects,Symptom,Caused of Problem,Branch / Site,Part Suply,Main Cause Part No,Part Description,Part Description.1,Techcare Component,Techcare Component.1,Techcare Sub Component,Techcare Sub Component.1,Created Date,EMR Last Closed Date,cluster_id,cluster_label,cluster_confidence
Closed,U-00005156,DBCH0058,KOMAT,PC200-10M0,KARYA TERANG UTAMA,Internal - Troubleshooting,USW,R&I SWING CIRCLE PC200 (U-00005156),Swing circle oblak,Swing circle oblak Clearence circle bearing out of standart Terjadi keausan pada ball bearing circle Mengingat HM unit masih rendah ( 4670 HM ) telah terjadi keausan abnormal pada circle bearing maka dapat di simpulkan keausan circle bearing di sebabkan daya tahan dari bearing tersebut rendah Poor durability,SPT,1,204-25-00710,Swing Circle  ,SWING CIRCLE   ,   ,SWING CIRCLE, ,,2024-08-30,2024-09-06,0,Seal Failure,0.95
Closed,U-00010227,J10033,KOMAT,PC200-10M0,MUARA RIAU,Internal - Troubleshooting,USW,REPLACE FOC SWING CIRCLE,TROBLE SHOOTING SWING ABNORMAL NOISE,SWING CIRCLE ABNORMAL NOISE BECAUSE POOR DURABILITY,PKB,1,204-25-00710,SWING CIRCLE  ,SWING CIRCLE   ,   ,SWING CIRCLE, ,,2025-03-13,2025-06-23,0,Seal Failure,0.95
Closed,U-00003661,J10074,KOMAT,PC200-10M0,MAJU ANEKA SAWIT,Internal - Troubleshooting,USW,RI SWING CIRCLE PC200 (U-00003661),Grease leak from seal swing circle,Terdapat rembesan grease pada swing circle Grease bocor melalui seal swing circle Seal tidak mampu menyekat grease dengan baik Daya tahan seal kurang mengingat HM unit masih rendah ( 933 HM ) Poor durability,SPT,1,205-25-71154,Seal  ,Seal   ,   ,SWING CIRCLE, ,,2024-06-28,2024-07-09,0,Seal Failure,0.95
Closed,U-00009915,DBCH1623,KOMAT,PC200-10M0,KREATIF MEMBANGUN BERSAMA,Internal - Troubleshooting,TRS,SEAL SWING CIRCLE BROKEN,DATA DATA YANG DI DAPATKAN DARI HASIL PENGECHECKAN ~ NIPPLE GREASE KONDISI BAGUS ~ SWING CIRCLE BEARING TIDAK ADA KERUSAKAN ~ PIPING SWING CIRCLE KONDISI TIDAK ADA KERUSAKAN ~ SEAL SWING CIRCLE YANG LUAR BROKEN,  DARI DATA DATA HASIL PENGECHECKAN TERSEBUT DAPAT DI SIMPULKAN PROBLEM SEAL SWING CIRCLE BROKEN DISEBABKAN KARENA SEAL YANG TERPASANG TIDAK GENUINE SEHINGGA SEAL TIDAK DUDUK DENGAN SEMPURNA AKIBATNYA SAAT UNIT BEROPERASI SEAL YANG TIDAK DUDUK DENGAN SEMPURNA LEPAS DARI DUDUKANNYA SEHINGGA SEAL MENJADI PATAH.   ADAPUN PENYEBAB KERUSAKAN SEAL SWING CIRCLE SISI LUAR KARENA MISS ASEMBLY YAITU SEAL YANG TERPASANG TIDAK GENUINE AKIBATNYA SEAL TERSEBUT TIDAK SESUAI DENGAN SPESIFIKASI YANG SWING CIRCLE AKIBATNYA SEAL TERSEBUT TIDK DUDUK DENGAN SEMPURNA ATAU MASIH ADA CELAH DI DUDUKAN SEAL TERSEBUT AKIBATNYA SEAL LEPAS DARI DUDUKANNYA SAAT UNIT BEROPERASI KARENA ADANYA CELAH SEAL TERHADAP DUDUKANNYA AKIBATNYA SAAT TERJADI GETARAN SAAT UNIT BEROPERASI HAL INI MENGAKIBATKAN UNIT TIDAK BISA BEROPERASI DENGAN MAKSIMAL.,BJM,0,205-25-71154,SEAL  ,SEAL   ,   ,SWING CIRCLE, ,,2025-03-03,2025-03-05,0,Seal Failure,0.95
Closed,U-00010896,DBCH2579,KOMAT,PC200-10M0,CAKRAWALA PUTRA BERSAMA,Internal - Troubleshooting,USW,RI Seal Swing Circle Broken E1002 CPB,Ditemukan seal swing circle robek (broken) TIdak ditemukan kerusakan karena pengaruh dari luar system,Kerusakan pada seal swing circle disebabkan terjadi internal defect pada seal tersebut. Kerusakan part tersebut karena daya tahan material yang kurang (poor durability),RTU,1,205-25-71154,seal  ,seal   ,   ,SWING CIRCLE, ,,2025-04-11,2025-04-21,0,Seal Failure,0.95
Closed,U-00012816,DBCH2697,KOMAT,PC200-10M0,LESTARI KARYA BERSAUDARA,Internal - Troubleshooting,USW,RI SWING CIRCLE PC200 (LKB_EX24),Seal Swing Circle Broken cause Foreign Material,    DATA OPERASI : >> Unit beroperasi selama 2 shift kurang lebih 20 jam per hari >> Unit dioperasikan secara normal dan tidak terjadi adanya miss operation >> Unit mengalami Accident >>Adanya Foreign Material (Patahan kayu) yang merusak Seal Swing Circle Hasil pemeriksaan awal : 1.Ditemukan adanya Foreign Material ( patahan kayu) di Area Swing Circle 2. Terjadi gesekan antara Swing Circle dan Patahan kayu dalam waktu yang Relatif lama 3. Akibat gesekan antara Swing circle dan foreign mateial (patahan kayu) dalam waktu yang relatif lama sehingga menyebabkan Seal Swing Circle Broken ANALISA : Dari data-data dan hasil pemeriksaan dapat disimpulkan Seal swing terjadi karena Fatique Fracture dari material Seal yang disebabkan karena adanya Gesekan antara Swing Circle dan Foreign material dalam waktu lama sehingga Seal swing circle terkena dampaknya dan mengalami kerusakan (Broken ) PICTURE DATA,TRK,1,205-25-71154,Seal  ,Seal   ,   ,SWING CIRCLE, ,,2025-06-25,2025-07-07,0,Seal Failure,0.95
Closed,U-00015504,DBCH2462,KOMAT,PC200-10M0,MOH. RIFKI,Internal - Troubleshooting,USW,RI SWING CIRCLE PC200,BROKEN,"DATA  : - TEMUAN SAAT P2H OPERATOR DI TEMUKAN SEAL SWING LEPAS DARI DUDUKAN SEAL - UNIT MENGGUNAKAN PART YANG MASIH GENUINE BAWAAN UNIT - TIDAK ADA INDIKASI PERNAH TERJADI ACCIDENT ATAU MODIFIKASI PADA UNIT ANALISA : - DARI HASIL OBSERVASI & ANALISA PADA UNIT, DITEMUKAN BAHWA PENYEBAB SEAL SWING BROKEN DIKARENAKAN SEALNYA TERPELINTIR SEHINGGA ADA CELAH ANTARA DUDUKAN SEAL DENGAN SWING CIRCLE - PERLU DILAKUKAN REPLACE SEAL SWING",MDO,1,205-30-71171,SEAL  ,SEAL   ,   ,SWING SYSTEM, ,,2025-09-23,2026-01-23,0,Seal Failure,0.95
Closed,U-00019354,DBCH3175,KOMAT,PC200-10M0,ZEGAR INTI PAPUA,Internal - Unschedule Breakdown,USW,RI ARM PC200-10M0 DBCH3175 ZEGAR INTI,DITERIMA LAPORAN DARI OPERATOR SAAT MELAKUKAN P2H DITEMUKAN LOCK PIN ARM DALAM KEADAAN HILANG,POOR TORQUE,JYP,0,205-70-71312,PLATE  ,PLATE   ,   ARM ,ARM, Arm Mount Pin, Arm Mount Pin ,2026-01-28,2026-03-09,1,Fuel System Issues,0.9
Closed,U-00009916,DBCH1622,KOMAT,PC200-10M0,KREATIF MEMBANGUN BERSAMA,Internal - Troubleshooting,TRS,SEAL SWING CIRCLE BROKEN,DATA DATA YANG DI DAPATKAN DARI HASIL PENGECHECKAN ~ NIPPLE GREASE KONDISI BAGUS ~ SWING CIRCLE BEARING TIDAK ADA KERUSAKAN ~ PIPING SWING CIRCLE KONDISI TIDAK ADA KERUSAKAN ~ SEAL SWING CIRCLE YANG LUAR BROKEN,DARI DATA DATA HASIL PENGECHECKAN TERSEBUT DAPAT DI SIMPULKAN PROBLEM SEAL SWING CIRCLE BROKEN DISEBABKAN KARENA SEAL YANG TERPASANG TIDAK GENUINE SEHINGGA SEAL TIDAK DUDUK DENGAN SEMPURNA AKIBATNYA SAAT UNIT BEROPERASI SEAL YANG TIDAK DUDUK DENGAN SEMPURNA LEPAS DARI DUDUKANNYA SEHINGGA SEAL MENJADI PATAH.   ADAPUN PENYEBAB KERUSAKAN SEAL SWING CIRCLE SISI LUAR KARENA MISS ASEMBLY YAITU SEAL YANG TERPASANG TIDAK GENUINE AKIBATNYA SEAL TERSEBUT TIDAK SESUAI DENGAN SPESIFIKASI YANG SWING CIRCLE AKIBATNYA SEAL TERSEBUT TIDK DUDUK DENGAN SEMPURNA ATAU MASIH ADA CELAH DI DUDUKAN SEAL TERSEBUT AKIBATNYA SEAL LEPAS DARI DUDUKANNYA SAAT UNIT BEROPERASI KARENA ADANYA CELAH SEAL TERHADAP DUDUKANNYA AKIBATNYA SAAT TERJADI GETARAN SAAT UNIT BEROPERASI HAL INI MENGAKIBATKAN UNIT TIDAK BISA BEROPERASI DENGAN MAKSIMAL.,BJM,0,205Y-25-71154,SEAL  ,SEAL   ,   ,SWING CIRCLE, ,,2025-03-03,2025-03-05,0,Seal Failure,0.95
Closed,U-00006444,DBCH2064,KOMAT,PC200-10M0,WAHYU WIDODO,Internal - Troubleshooting,TRS,TRS HYD SYSTEM_PC200-10M0_DBCH2064_WAHYU,ANY NOISE AT BOOM AND ARM,ANY CLEAREANCE BETWEEN BOOM AND ARM OF 2 mm,SBY,0,206-70-45210,SHIM  ,SHIM   ,   ,HYDRAULIC SYSTEM, ,,2024-10-17,2024-10-22,1,Fuel System Issues,0.9
Closed,U-00017848,DBCH2567,KOMAT,PC200-10M0,KARUNIA ARMADA INDONESIA,Internal - Troubleshooting,TRS,Trs Engine Cant Start_EXKM87 KAI,Batteray drop,"Terkait laporan engine cant start,ditemukan kondisi voltage baterai drop.Saat dilakukan pemeriksaan kondisi wirring dalam kondisi baik.penyebab drop nya bateray karena poordurability",TBG,0,207-06-11790,BATTERAY  ,BATTERY   ,   ,ENGINE, ,,2025-12-03,2025-12-08,1,Fuel System Issues,0.9
Closed,U-00014678,J10044,KOMAT,PC200-10M0,RIAU ANDALAN PULP & PAPER,Internal - Troubleshooting,USW,REPLACE CLAIM FOC ROTATOR,ROTATOR GRAPLE ABNORMAL NIOSE,ROTATOR LOCK GRAPLE ABNORMAL NOISE AND LEAK BECAUSE POOR DURABILITY,PKB,1,207-62-J1230,ROTATOR ASSY  ,ROTATOR ASSY   ,   ,, ,,2025-08-30,2025-11-14,0,Seal Failure,0.95
Closed,U-00013436,DBCH2153,KOMAT,PC200-10M0,H. CHALID BADO,Internal - Troubleshooting,TRS,TRS ENGINE PC200-10M0 DBCH2153 CHALID,"SAAT MESIN DIOPERASIKAN PADA KONDISI NORMAL, RPM ENGINE TIDAK STABIL (HUNTING)",TERDAPAT KERUSAKAN PADA PLUG ADDITIONAL PRE FILTER,JYP,0,208-04-J2212,FUEL PRE FILTER  ,FUEL PRE-FILTER   ,   FUEL SYSTEM ,FUEL SYSTEM, Fuel Tank & Piping System, Fuel Tank & Piping System ,2025-07-21,2025-07-28,1,Fuel System Issues,0.9
Closed,U-00008571,DBCH1871,KOMAT,PC200-10M0,JUHADI,Internal - Troubleshooting,TRS,TRS ENGINE PC200-10M0 DBCH1871 JUHADI,RPM ENGINE DROP,"EROR LOW PRESSURE FUEL & PLUG HOUSING ADD FILTER RUSAK DIKARENAKAN SAAT OPERATOR MENGGANTI ELEMENT FUEL PRE FILTER DIA MENCOBA MEMBUKA PLUG UNTUK MEMBUANG UDAR DALAM FUEL SYSTEM,SAAT AKAN DIPASANG PLUG TSB OPERATOR MEMASANG DENGAN MIRING & DIPAKSA MASUK SEHINGGA ULIR PADA HOUSING TSB RUSAK.",JYP,0,208-04-J2212,FUEL PREFILTER ASSEMBLY  ,FUEL PRE-FILTER   ,   ENGINE & RELATED SYSTEM ,ENGINE & RELATED SYSTEM, Fuel, Fuel ,2025-01-08,2025-01-15,1,Fuel System Issues,0.9
